link,t,x,delta_t,delta_x,q,k,v
link1,0,0.0,120,100.0,0.375,0.01875,20.0
link1,0,100.0,120,100.0,0.33333333333333337,0.016666666666666666,20.000000000000004
link1,0,200.0,120,100.0,0.33333333333333337,0.016666666666666666,20.000000000000004
link1,0,300.0,120,100.0,0.33333333333333337,0.016666666666666666,20.000000000000004
link1,0,400.0,120,100.0,0.2916666666666667,0.014583333333333332,20.000000000000004
link1,0,500.0,120,100.0,0.2916666666666667,0.014583333333333332,20.000000000000004
link1,0,600.0,120,100.0,0.25,0.0125,20.0
link1,0,700.0,120,100.0,0.25,0.0125,20.0
link1,0,800.0,120,100.0,0.25,0.0125,20.0
link1,0,900.0,120,100.0,0.20833333333333331,0.010416666666666668,19.999999999999996
link1,120,0.0,120,100.0,0.375,0.01875,20.0
link1,120,100.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,120,200.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,120,300.0,120,100.0,0.375,0.01875,20.0
link1,120,400.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,120,500.0,120,100.0,0.375,0.01875,20.0
link1,120,600.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,120,700.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,120,800.0,120,100.0,0.375,0.01875,20.0
link1,120,900.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,240,0.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,240,100.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,240,200.0,120,100.0,0.375,0.01875,20.0
link1,240,300.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,240,400.0,120,100.0,0.375,0.01875,20.0
link1,240,500.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,240,600.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,240,700.0,120,100.0,0.375,0.01875,20.0
link1,240,800.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,240,900.0,120,100.0,0.375,0.01875,20.0
link1,360,0.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,360,100.0,120,100.0,0.375,0.01875,20.0
link1,360,200.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
link1,360,300.0,120,100.0,0.375,0.01875,20.0
link1,360,400.0,120,100.0,0.41666666666666663,0.020833333333333336,19.999999999999996
