name,dn,orig,dest,t,link,x,s,v
0,5,orig1,dest,15,link1,0.0,-1.0,20.0
0,5,orig1,dest,20,link1,100.0,-1.0,20.0
0,5,orig1,dest,25,link1,200.0,-1.0,20.0
0,5,orig1,dest,30,link1,300.0,-1.0,20.0
0,5,orig1,dest,35,link1,400.0,-1.0,20.0
0,5,orig1,dest,40,link1,500.0,-1.0,20.0
0,5,orig1,dest,45,link1,600.0,-1.0,20.0
0,5,orig1,dest,50,link1,700.0,-1.0,20.0
0,5,orig1,dest,55,link1,800.0,-1.0,20.0
0,5,orig1,dest,60,link1,900.0,-1.0,20.0
0,5,orig1,dest,65,link3,0.0,-1.0,20.0
0,5,orig1,dest,70,link3,100.0,-1.0,20.0
0,5,orig1,dest,75,link3,200.0,-1.0,20.0
0,5,orig1,dest,80,link3,300.0,-1.0,20.0
0,5,orig1,dest,85,link3,400.0,-1.0,20.0
0,5,orig1,dest,90,link3,500.0,-1.0,20.0
0,5,orig1,dest,95,link3,600.0,-1.0,20.0
0,5,orig1,dest,100,link3,700.0,-1.0,20.0
0,5,orig1,dest,105,link3,800.0,-1.0,20.0
0,5,orig1,dest,110,link3,900.0,-1.0,20.0
0,5,orig1,dest,110,trip_end,-1.0,-1.0,-1.0
1,5,orig1,dest,25,link1,0.0,300.0,20.0
1,5,orig1,dest,30,link1,100.0,300.0,20.0
1,5,orig1,dest,35,link1,200.0,300.0,20.0
1,5,orig1,dest,40,link1,300.0,300.0,20.0
1,5,orig1,dest,45,link1,400.0,300.0,20.0
1,5,orig1,dest,50,link1,500.0,300.0,20.0
1,5,orig1,dest,55,link1,600.0,300.0,20.0
1,5,orig1,dest,60,link1,700.0,300.0,20.0
1,5,orig1,dest,65,link1,800.0,-1.0,20.0
1,5,orig1,dest,70,link1,900.0,-1.0,20.0
1,5,orig1,dest,75,link3,0.0,300.0,20.0
1,5,orig1,dest,80,link3,100.0,300.0,20.0
1,5,orig1,dest,85,link3,200.0,300.0,20.0
1,5,orig1,dest,90,link3,300.0,300.0,20.0
1,5,orig1,dest,95,link3,400.0,300.0,20.0
1,5,orig1,dest,100,link3,500.0,300.0,20.0
1,5,orig1,dest,105,link3,600.0,300.0,20.0
1,5,orig1,dest,110,link3,700.0,-1.0,20.0
1,5,orig1,dest,115,link3,800.0,-1.0,20.0
1,5,orig1,dest,120,link3,900.0,-1.0,20.0
1,5,orig1,dest,120,trip_end,-1.0,-1.0,-1.0
2,5,orig1,dest,40,link1,0.0,400.0,20.0
2,5,orig1,dest,45,link1,100.0,400.0,20.0
2,5,orig1,dest,50,link1,200.0,400.0,20.0
2,5,orig1,dest,55,link1,300.0,400.0,20.0
2,5,orig1,dest,60,link1,400.0,400.0,20.0
